GEO_CODE (POR),GEO_LEVEL,GEO_NAME,Population Count,Median Age,Population Density (pop/km2),Mean Weeks Worked,After Tax Measure Low Income Prevalence (%),After Tax Cut-Off Low Income Prevalence (%),Total Youth (0-25),Total Adult (26+),Total Adult Males,Total Adult Females
2446070,3,"Brome, VL",295,53.3,25.6,41.8,18.6,18.6,65,235,120,120
2446075,3,"Lac-Brome, V",5495,55.7,26.5,40.8,14.8,14.8,1120,4380,2095,2270
2446078,3,"Bromont, V",9040,44.2,79.2,42.1,8.7,8.7,2460,6575,3215,3390
2446080,3,"Cowansville, V",13655,46.2,291.2,42.7,18.1,18.1,3530,10140,5070,5060
2446085,3,"East Farnham, MÉ",555,46.9,110.2,42.3,9.9,9.9,145,415,200,210
2446090,3,"Brigham, MÉ",2305,45.8,26.5,42.9,11.5,11.5,610,1675,880,810
2446095,3,"Saint-Ignace-de-Stanbridge, MÉ",675,43.8,9.7,40.9,14.8,14.8,195,475,255,215
2446100,3,"Notre-Dame-de-Stanbridge, MÉ",665,46.7,15.2,44.4,11.5,11.5,175,490,240,240
2446105,3,"Sainte-Sabine, MÉ",1085,40.3,19.6,45.2,7.9,7.9,335,745,385,350
2446112,3,"Farnham, V",8905,42.3,96.6,42.5,16.3,16.3,2585,6330,3150,3180
2447010,3,"Saint-Alphonse-de-Granby, MÉ",3090,37.5,61.7,43.8,6.8,6.8,1025,2065,1075,990
2447017,3,"Granby, V",66220,46.1,433.4,42.8,15.5,15.5,17575,48640,23260,25400
2447025,3,"Waterloo, V",4410,45.2,360.2,41.2,22.5,22.5,1245,3165,1500,1655
2447030,3,"Warden, VL",365,45.9,66.5,41.8,23.3,23.3,105,260,145,115
2447035,3,"Shefford, CT",6945,44.5,58.7,43.2,8.2,8.2,1935,5010,2615,2390
2447040,3,"Saint-Joachim-de-Shefford, MÉ",1300,41.7,10.2,42.7,14.6,14.6,380,915,475,430
2447047,3,"Roxton Pond, MÉ",3810,41.7,39,43.2,11.7,11.7,1105,2695,1390,1315
2447055,3,"Sainte-Cécile-de-Milton, MÉ",2160,37.8,29.6,44.3,10.5,10.5,685,1485,770,705
2448005,3,"Béthanie, MÉ",320,48.3,6.9,45,20.3,20.3,85,245,135,105
2448010,3,"Roxton Falls, VL",1305,42.9,264.7,43.5,20.7,20.7,385,920,455,465
2448015,3,"Roxton, CT",1085,47.5,7.3,44.2,15.3,15.3,290,805,440,370
2448020,3,"Sainte-Christine, PE",730,45.7,7.9,41.1,13.7,13.7,195,545,280,255
2448028,3,"Acton Vale, V",7660,47.1,84,42.5,18,18,2005,5645,2775,2880
2448038,3,"Upton, MÉ",2090,42.2,38.2,44.8,14.1,14.1,595,1490,790,710
2448045,3,"Saint-Théodore-d'Acton, MÉ",1520,40.5,18.3,42.4,12.2,12.2,490,1025,535,480
2448050,3,"Saint-Nazaire-d'Acton, PE",885,40.9,15.2,43,14.1,14.1,265,625,330,280
2449005,3,"Saint-Félix-de-Kingsey, MÉ",1430,48.1,11.3,43.5,16.8,16.8,360,1070,565,515
2449015,3,"Durham-Sud, MÉ",1045,40.8,11.3,41.4,19.7,19.7,320,735,380,340
2449020,3,"Lefebvre, MÉ",905,39.5,13.7,41.5,14.9,14.9,280,615,335,285
2449025,3,"L'Avenir, MÉ",1310,49.8,13.4,40,16.5,16.5,310,995,550,460
2449030,3,"Saint-Lucien, MÉ",1645,46.2,14.8,41.4,16.3,16.3,385,1255,670,585
2449040,3,"Wickham, MÉ",2540,38.8,25.7,43.7,13.8,13.8,835,1705,905,805
2449048,3,"Saint-Germain-de-Grantham, MÉ",4915,37.2,56.2,44.7,10.4,10.4,1660,3245,1630,1625
2449058,3,"Drummondville, V",75420,43.9,305.2,42.8,17.2,17.2,20450,54980,26605,28360
2449070,3,"Saint-Cyrille-de-Wendover, MÉ",4720,37.3,42.8,43.6,11.9,11.9,1610,3115,1595,1520
2449075,3,"Notre-Dame-du-Bon-Conseil, VL",1555,43.7,370.4,43.8,12.6,12.6,420,1140,535,600
2449080,3,"Notre-Dame-du-Bon-Conseil, PE",950,47.4,10.8,45.6,11.1,11.1,250,695,360,350
2449085,3,"Sainte-Brigitte-des-Saults, PE",720,42.6,10.2,44.1,11.7,11.7,190,540,280,240
2449095,3,"Saint-Majorique-de-Grantham, PE",1390,37.2,24.1,42.1,7.6,7.6,490,895,465,435
2449100,3,"Saint-Edmond-de-Grantham, PE",765,37.2,15.8,43.4,9.9,9.9,245,505,265,245
2449105,3,"Saint-Eugène, MÉ",1125,44.4,14.8,43.6,12.9,12.9,290,830,455,375
2449113,3,"Saint-Guillaume, MÉ",1480,43.3,16.8,44.4,16.2,16.2,420,1075,570,510
2449125,3,"Saint-Bonaventure, MÉ",1035,40.3,13.1,41.9,10.2,10.2,305,710,375,360
2449130,3,"Saint-Pie-de-Guire, PE",450,43.9,8.8,45.3,13.3,13.3,130,320,180,155
2450005,3,"Sainte-Eulalie, MÉ",890,40.9,10.4,43.1,15.2,15.2,255,640,345,315
2450013,3,"Aston-Jonction, MÉ",425,36.1,16.2,41.2,19,19,155,270,140,130
2450023,3,"Saint-Wenceslas, MÉ",1160,42.5,14.5,43.1,13.4,13.4,300,845,445,400
2450030,3,"Saint-Célestin, VL",830,45.1,587.5,44.7,9.7,9.7,205,630,305,335
2450035,3,"Saint-Célestin, MÉ",575,42.4,7.5,44.6,11.3,11.3,155,415,220,200
2450042,3,"Saint-Léonard-d'Aston, MÉ",2330,43.1,28.2,43.4,12.6,12.6,650,1685,840,855
2450050,3,"Sainte-Perpétue, PE",960,44.7,13.4,44,16.7,16.7,275,680,345,350
2450057,3,"Sainte-Monique, MÉ",500,41.9,8.6,43.9,20.8,20.8,155,365,195,170
2450065,3,"Grand-Saint-Esprit, MÉ",475,43.7,17.5,42.3,9.4,9.4,130,350,180,170
2450072,3,"Nicolet, V",8165,50.8,85.2,43.4,15.2,15.2,1950,6220,2835,3375
2450085,3,"La Visitation-de-Yamaska, MÉ",325,42.9,7.7,46.1,7.6,7.6,100,230,120,95
2450090,3,"Saint-Zéphirin-de-Courval, PE",700,40.4,9.7,44.6,19.3,19.3,220,490,255,215
2450095,3,"Saint-Elphège, PE",270,40.8,6.7,47.2,24.1,24.1,80,180,95,95
2450100,3,"Baie-du-Febvre, MÉ",990,48.4,10.2,43.4,17.7,17.7,260,725,380,340
2450113,3,"Pierreville, MÉ",2145,51.7,27.3,42.8,23.3,23.3,475,1665,860,820
2450128,3,"Saint-François-du-Lac, MÉ",1965,52.9,30.6,43.4,19.6,19.6,405,1565,800,745
2450802,3,"Odanak, IRI",450,42.4,79.6,42.3,0,0,135,320,155,165
2451008,3,"Maskinongé, MÉ",2320,49.5,31.7,42.5,17.3,17.3,530,1795,930,860
2451015,3,"Louiseville, V",7150,55.3,112,42.9,24.8,24.8,1315,5835,2745,3080
2451020,3,"Yamachiche, MÉ",2830,43.8,26.6,43.5,15.8,15.8,755,2070,1040,1040
2451025,3,"Saint-Barnabé, PE",1195,46.3,20.3,43.2,16.3,16.3,295,900,455,440
2451030,3,"Saint-Sévère, PE",305,44.5,9.5,42.4,9.8,9.8,75,220,120,100
2451035,3,"Saint-Léon-le-Grand, PE",930,47.9,12.2,41.7,17.5,17.5,240,690,365,330
2451040,3,"Sainte-Ursule, PE",1330,51.8,19.6,40.1,22.4,22.4,290,1045,525,520
2451045,3,"Saint-Justin, MÉ",970,55.6,12.4,44.5,18.8,18.8,170,795,410,395
2451050,3,"Saint-Édouard-de-Maskinongé, MÉ",715,51.2,13.5,42.4,23.1,23.1,155,570,295,265
2451055,3,"Sainte-Angèle-de-Prémont, MÉ",595,55.4,15.8,41.2,19.5,19.5,90,510,295,215
2451060,3,"Saint-Paulin, MÉ",1500,50.4,15.6,41.2,22.2,22.2,350,1150,585,565
2451065,3,"Saint-Alexis-des-Monts, PE",2980,56.3,2.8,40.5,23.5,23.5,520,2460,1250,1205
2451070,3,"Saint-Mathieu-du-Parc, MÉ",1340,55.8,6.1,39.6,13.9,13.9,230,1105,595,520
2451075,3,"Saint-Élie-de-Caxton, MÉ",1840,52.3,15.5,40,17.1,17.1,375,1450,740,705
2451080,3,"Charette, MÉ",950,50.4,22.8,43.2,19.5,19.5,210,740,380,355
2451085,3,"Saint-Boniface, MÉ",4830,40.4,44.5,42.6,8.9,8.9,1415,3405,1695,1725
2451090,3,"Saint-Étienne-des-Grès, PE",4540,39.8,43.4,41.6,9.2,9.2,1280,3255,1700,1565
2452007,3,"Lavaltrie, V",13660,39.1,199.7,43.5,11,11,4225,9430,4725,4690
2452017,3,"Lanoraie, MÉ",4785,45.6,46.4,42.2,12.9,12.9,1285,3505,1730,1770
2452030,3,"Sainte-Élisabeth, MÉ",1460,46.5,17.6,43.5,17.6,17.6,380,1070,575,505
2452035,3,"Berthierville, V",4190,51.3,607.9,42.6,22.5,22.5,970,3210,1495,1745
2452040,3,"Sainte-Geneviève-de-Berthier, MÉ",2280,46.1,33.7,43.2,10.4,10.4,575,1700,865,835
2452045,3,"Saint-Ignace-de-Loyola, MÉ",2045,51.5,56.7,43.4,10.5,10.5,460,1590,785,810
2452050,3,"La Visitation-de-l'Île-Dupas, MÉ",625,52.8,20.5,43.9,8.8,8.8,145,485,250,225
2452055,3,"Saint-Barthélemy, PE",1935,51.1,18.3,42.6,20.3,20.3,415,1525,810,700
2452062,3,"Saint-Cuthbert, MÉ",1865,48.6,14.1,41.1,18.3,18.3,460,1385,735,665
2452070,3,"Saint-Norbert, PE",1000,47.4,13.4,41,18.4,18.4,245,755,385,370
2452075,3,"Saint-Cléophas-de-Brandon, MÉ",225,46.8,14.8,40.1,x,x,60,160,70,90
2452080,3,"Saint-Gabriel, V",2640,54.6,933.9,40.9,35.8,35.8,545,2100,940,1150
2452085,3,"Saint-Gabriel-de-Brandon, MÉ",2635,53.5,26.5,40.8,19.5,19.5,565,2055,1070,1.00E+03
2452090,3,"Saint-Didace, PE",650,55.9,6.5,40.8,24.6,24.6,110,540,285,255
2452095,3,"Mandeville, MÉ",2190,55.7,6.8,41.2,24.8,24.8,385,1815,935,865
2453005,3,"Saint-David, MÉ",820,46.6,8.8,41.1,19.6,19.6,220,600,325,270
2453010,3,"Massueville, VL",530,45.9,340.2,42.4,23.8,23.8,150,370,195,180
2453015,3,"Saint-Aimé, MÉ",465,44.4,7.6,46.3,8.7,8.7,125,335,180,155
2453020,3,"Saint-Robert, MÉ",1805,47.5,27.7,43.3,13.6,13.6,435,1370,710,655
2453025,3,"Sainte-Victoire-de-Sorel, MÉ",2460,47.3,32.6,43,9.6,9.6,615,1850,950,885
2453032,3,"Saint-Ours, V",1670,52.2,28.1,41.3,12.7,12.7,355,1310,685,610
2453040,3,"Saint-Roch-de-Richelieu, MÉ",2185,43.3,63.5,43.1,10.5,10.5,575,1610,835,775
2453050,3,"Saint-Joseph-de-Sorel, V",1640,48.2,1192.7,37.3,37.8,37.8,395,1240,625,625
2453052,3,"Sorel-Tracy, V",34755,52.5,604.9,43,17.2,17.2,7280,27480,13115,14365
2453065,3,"Sainte-Anne-de-Sorel, MÉ",2770,51.2,72.2,43.6,8.5,8.5,615,2145,1080,1075
2453072,3,"Yamaska, MÉ",1690,48.2,23.2,43.2,18,18,430,1260,660,610
2453085,3,"Saint-Gérard-Majella, PE",245,48.7,6.3,47.1,x,x,65,170,95,90
2454008,3,"Saint-Pie, V",5610,39.4,52.2,44.1,9.7,9.7,1745,3875,2015,1840
2454017,3,"Saint-Damase, MÉ",2475,43.1,31,43.6,8.2,8.2,705,1770,925,855
2454025,3,"Sainte-Madeleine, VL",2230,39,415.9,43.4,7,7,660,1580,790,775
2454030,3,"Sainte-Marie-Madeleine, PE",2890,41.2,57.7,44.1,6.7,6.7,865,2020,1050,1005
2454035,3,"La Présentation, MÉ",2540,37,26.9,43.7,6.7,6.7,845,1680,890,825
2454048,3,"Saint-Hyacinthe, V",55650,47,294.5,42.9,16.9,16.9,14250,41395,19290,22105
2454060,3,"Saint-Dominique, MÉ",2550,36.3,36.2,43.6,9,9,865,1680,865,830
2454065,3,"Saint-Valérien-de-Milton, MÉ",1790,39.6,16.8,43.2,12.9,12.9,570,1215,645,580
2454072,3,"Saint-Liboire, MÉ",3060,37.3,41.5,44.2,7.9,7.9,1055,2005,1010,985
2454090,3,"Saint-Simon, MÉ",1410,36.6,20.5,44.2,10.1,10.1,470,945,490,455
2454095,3,"Sainte-Hélène-de-Bagot, MÉ",1690,37.3,23.3,44.4,11.8,11.8,565,1125,580,545
2454100,3,"Saint-Hugues, MÉ",1325,38,15.7,45.3,12.5,12.5,420,900,465,425
2454105,3,"Saint-Barnabé-Sud, MÉ",865,39.7,15,43.9,10.4,10.4,260,610,325,285
2454110,3,"Saint-Jude, MÉ",1215,39.2,15.7,45,14,14,420,805,420,385
2454115,3,"Saint-Bernard-de-Michaudville, MÉ",585,40.8,8.9,41.9,12.8,12.8,185,410,200,205
2454120,3,"Saint-Louis, MÉ",710,45.1,15.1,41.7,10.6,10.6,185,525,280,235
2454125,3,"Saint-Marcel-de-Richelieu, MÉ",495,42.7,9.7,40.9,24,24,155,340,180,160
2455008,3,"Ange-Gardien, MÉ",2700,35.4,29.9,44.1,9.5,9.5,890,1810,925,895
2455015,3,"Saint-Paul-d'Abbotsford, MÉ",2890,43.5,36.3,40,10.4,10.4,835,2050,1100,960
2455023,3,"Saint-Césaire, V",5880,40,70.6,43.5,11.6,11.6,1735,4130,2065,2080
2455030,3,"Sainte-Angèle-de-Monnoir, MÉ",1820,38.5,40.7,43.1,9.3,9.3,575,1265,640,625
2455037,3,"Rougemont, MÉ",2755,44.9,62.7,44.7,9.1,9.1,725,2030,1060,995
2455048,3,"Marieville, V",10725,38.1,169.6,43.9,9.6,9.6,3145,7575,3755,3835
2455057,3,"Richelieu, V",5235,47.3,169,44.1,11,11,1315,3930,1955,1975
2455065,3,"Saint-Mathias-sur-Richelieu, MÉ",4530,43.7,96.1,43.5,9.1,9.1,1245,3290,1650,1630
2456005,3,"Venise-en-Québec, MÉ",1635,58.2,123.5,41.3,12.9,12.9,270,1370,710,650
2456010,3,"Saint-Georges-de-Clarenceville, MÉ",1105,52.9,17.4,42.4,17.3,17.3,235,865,460,420
2456015,3,"Noyan, MÉ",1390,50.7,31.4,40.1,17.2,17.2,320,1065,585,485
2456023,3,"Lacolle, MÉ",2595,45.8,52.5,41.7,15.1,15.1,710,1875,945,935
2456030,3,"Saint-Valentin, MÉ",450,43.5,11.4,42.3,14.4,14.4,115,320,170,150
2456035,3,"Saint-Paul-de-l'Île-aux-Noix, MÉ",1980,48.1,66.8,42.5,13.7,13.7,490,1485,795,700
2456042,3,"Henryville, MÉ",1405,46.1,21.5,43.4,12.3,12.3,365,1055,535,515
2456050,3,"Saint-Sébastien, MÉ",715,39.9,11.3,43,14.2,14.2,240,470,245,245
2456055,3,"Saint-Alexandre, MÉ",2470,36.3,32.3,42.6,8.1,8.1,850,1620,815,790
2456060,3,"Sainte-Anne-de-Sabrevois, PE",2040,42,45.6,42.4,10.1,10.1,570,1465,755,705
2456065,3,"Saint-Blaise-sur-Richelieu, MÉ",2070,44.4,29.7,43.5,10.4,10.4,585,1485,795,690
2456083,3,"Saint-Jean-sur-Richelieu, V",95115,42.7,419.7,43.7,12.2,12.2,26825,68295,32915,35380
2456097,3,"Mont-Saint-Grégoire, MÉ",3075,43,38.5,42.9,8.3,8.3,930,2145,1080,1060
2456105,3,"Sainte-Brigide-d'Iberville, MÉ",1400,37.8,19.9,44.3,10.2,10.2,440,970,510,450
2457005,3,"Chambly, V",29120,37.4,1158.7,44.5,6.5,6.5,9665,19460,9345,10110
2457010,3,"Carignan, V",9465,39.4,151.9,44.7,3.8,3.8,3060,6405,3245,3165
2457020,3,"Saint-Basile-le-Grand, V",17060,39.4,475.3,44.4,4.6,4.6,5665,11390,5465,5925
2457025,3,"McMasterville, MÉ",5695,39.6,1827.5,44.2,6.7,6.7,1695,4010,1900,2100
2457030,3,"Otterburn Park, V",8420,40.7,1567.1,43,5.6,5.6,2730,5690,2730,2975
2457033,3,"Saint-Jean-Baptiste, MÉ",3105,44.4,42.9,41.9,11.1,11.1,820,2290,1185,1100
2457035,3,"Mont-Saint-Hilaire, V",18585,45.9,420.5,43.1,6.3,6.3,5170,13410,6265,7145
2457040,3,"Beloeil, V",22460,41.3,920.2,43.9,7.1,7.1,6480,15970,7630,8335
2457045,3,"Saint-Mathieu-de-Beloeil, MÉ",2620,42.9,66.5,43.7,3.8,3.8,765,1860,945,900
2457050,3,"Saint-Marc-sur-Richelieu, MÉ",2175,44.5,35.6,43.1,4.9,4.9,620,1565,800,755
2457057,3,"Saint-Charles-sur-Richelieu, MÉ",1715,48.8,26.4,45.1,9.3,9.3,430,1290,665,645
2457068,3,"Saint-Denis-sur-Richelieu, MÉ",2305,45.8,27.3,43.2,12.4,12.4,610,1695,875,835
2457075,3,"Saint-Antoine-sur-Richelieu, MÉ",1695,47,25.8,42.7,8.8,8.8,425,1270,645,635
2458007,3,"Brossard, V",85720,42.3,1895.4,42.4,12.1,12.1,23380,62335,29440,32895
2458012,3,"Saint-Lambert, V",21860,49.8,2880.6,41.3,9.3,9.3,5530,16320,7095,9240
2458033,3,"Boucherville, V",41670,47.4,591.1,43.4,4.3,4.3,11375,30285,14285,16005
2458037,3,"Saint-Bruno-de-Montarville, V",26395,45.7,611.8,42.9,4.4,4.4,7835,18545,8855,9690
2458227,3,"Longueuil, V",239700,41.9,2070.9,42.8,14.8,14.8,65510,174190,83320,90890
2459010,3,"Sainte-Julie, V",29885,41.8,615.7,44,4.2,4.2,9770,20115,9620,10510
2459015,3,"Saint-Amable, MÉ",12170,34.9,330.6,44.8,8.5,8.5,4100,8065,4065,3995
2459020,3,"Varennes, V",21260,41.1,225.2,43.7,5,5,6670,14585,7075,7510
2459025,3,"Verchères, MÉ",5835,40.8,80.4,43.7,8.2,8.2,1730,4105,2040,2065
2459030,3,"Calixa-Lavallée, MÉ",525,46.7,16.2,43.6,6.7,6.7,125,390,215,175
2459035,3,"Contrecoeur, V",7885,40.5,128.2,43.7,9.8,9.8,2055,5830,2915,2910
2460005,3,"Charlemagne, V",5910,49.6,2706.2,43.1,14,14,1320,4595,2190,2395
2460013,3,"Repentigny, V",84285,43.7,1376.5,43.4,6.9,6.9,24715,59560,28140,31435
2460020,3,"Saint-Sulpice, PE",3440,43.2,94.6,43.1,8.7,8.7,940,2495,1260,1230
2460028,3,"L'Assomption, V",22430,38.5,226.6,43.3,9,9,7075,15345,7455,7890
2460035,3,"L'Épiphanie, V",5490,36.5,2387.4,43.2,16.6,16.6,1810,3675,1745,1940
2460040,3,"L'Épiphanie, PE",3200,40.7,58.6,42.8,12.8,12.8,965,2230,1170,1065
2461005,3,"Saint-Paul, MÉ",5890,36.9,120,44,9.7,9.7,1820,4070,2045,2020
2461013,3,"Crabtree, MÉ",3960,39.9,158.1,43.5,14.2,14.2,1210,2730,1380,1360
2461020,3,"Saint-Pierre, VL",275,50.2,28.2,40.9,14.5,14.5,55,215,110,105
2461025,3,"Joliette, V",20485,46.8,891.8,41.9,27.3,27.3,5090,15405,7100,8300
2461027,3,"Saint-Thomas, MÉ",3250,42.4,34.3,43.3,9.9,9.9,925,2325,1165,1160
2461030,3,"Notre-Dame-des-Prairies, V",9270,49,509.4,43.6,10.9,10.9,2245,7025,3300,3730
2461035,3,"Saint-Charles-Borromée, MÉ",13790,53.3,744.8,43.3,13.9,13.9,3095,10700,4690,6005
2461040,3,"Saint-Ambroise-de-Kildare, MÉ",3855,42.5,56.9,42.9,11.3,11.3,1100,2745,1375,1380
2461045,3,"Notre-Dame-de-Lourdes, MÉ",2785,41.5,77.7,44.2,12.8,12.8,765,2015,1045,965
2461050,3,"Sainte-Mélanie, MÉ",2990,43.4,39.3,43.5,11.1,11.1,800,2185,1100,1080
2462007,3,"Saint-Félix-de-Valois, MÉ",6305,45.8,71.4,43.3,15.2,15.2,1650,4655,2255,2390
2462015,3,"Saint-Jean-de-Matha, MÉ",4450,53.9,40.7,40.3,19.1,19.1,890,3550,1765,1780
2462020,3,"Sainte-Béatrix, MÉ",1955,53,23.5,41.6,19.1,19.1,400,1555,800,755
2462025,3,"Saint-Alphonse-Rodriguez, MÉ",3160,55.7,32.3,40.8,17.8,17.8,530,2640,1395,1240
2462030,3,"Sainte-Marcelline-de-Kildare, MÉ",1595,48.5,46.1,40.6,15.4,15.4,385,1200,620,585
2462037,3,"Rawdon, MÉ",11060,50.1,59.4,41.7,19.2,19.2,2615,8440,4175,4280
2462047,3,"Chertsey, MÉ",4700,54.9,16.3,41.1,25.5,25.5,820,3880,2100,1770
2462053,3,"Entrelacs, MÉ",930,57.6,18.9,41.6,23.2,23.2,135,785,430,355
2462055,3,"Notre-Dame-de-la-Merci, MÉ",905,58.5,3.6,41.9,21.3,21.3,120,785,425,355
2462060,3,"Saint-Donat, MÉ",3885,58.4,11,38.5,17.7,17.7,595,3290,1650,1645
2462065,3,"Saint-Côme, PE",2190,55.9,13.3,40.6,22,22,380,1815,910,910
2462070,3,"Sainte-Émélie-de-l'Énergie, MÉ",1565,53.7,10.4,38.2,23.9,23.9,310,1250,685,570
2462075,3,"Saint-Damien, PE",2095,56.6,8.2,42.1,20.5,20.5,370,1720,875,830
2462080,3,"Saint-Zénon, MÉ",1120,58.7,2.4,40.6,21.2,21.2,140,990,530,465
2462085,3,"Saint-Michel-des-Saints, MÉ",2360,55.8,4.7,39.9,20.6,20.6,425,1935,990,940
2462802,3,"Manawan, IRI",2060,22.1,258.4,38.8,0,0,1140,910,455,470
2462902,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2462904,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2462906,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2462908,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2462910,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2462912,3,"Saint-Guillaume-Nord, NO",85,58.2,0.1,33.9,x,x,10,75,45,35
2462914,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2462916,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2462918,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2462919,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2462920,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2462922,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2463005,3,"Sainte-Marie-Salomé, PE",1210,45.3,35.8,42.4,12,12,330,880,465,420
2463013,3,"Saint-Jacques, MÉ",3970,46.5,59,42.4,13.2,13.2,1015,2960,1450,1500
2463023,3,"Saint-Alexis, MÉ",1310,42.1,30.4,41.2,15,15,375,935,485,455
2463030,3,"Saint-Esprit, MÉ",1965,44.3,36.3,42.4,14.1,14.1,530,1445,735,705
2463035,3,"Saint-Roch-de-l'Achigan, MÉ",5145,38.8,64.1,43,12.9,12.9,1595,3540,1790,1770
2463040,3,"Saint-Roch-Ouest, MÉ",270,40,13.2,41.2,11.3,11.3,75,195,95,85
2463048,3,"Saint-Lin--Laurentides, V",20785,35.2,175.6,42.2,14.1,14.1,6920,13870,7080,6780
2463055,3,"Saint-Calixte, MÉ",6045,48.6,42.1,40.7,23.3,23.3,1395,4650,2480,2170
2463060,3,"Sainte-Julienne, MÉ",9955,43.1,99.9,41.8,16.6,16.6,2650,7305,3875,3435
2463065,3,"Saint-Liguori, PE",1940,45.6,38.3,42.3,10.3,10.3,520,1425,710,720
2464008,3,"Terrebonne, V",111575,39,723.9,43.7,8,8,36715,74865,36455,38395
2464015,3,"Mascouche, V",46690,38.7,436.4,43.8,6.8,6.8,14670,32035,15495,16520
2465005,3,"Laval, V",422990,41.9,1710.9,43,11.3,11.3,125965,297025,141440,155605
2466007,3,"Montréal-Est, V",3850,38.8,314.5,43.1,20.7,20.7,1090,2765,1420,1340
2466023,3,"Montréal, V",1704695,38.5,4662.1,41.6,22.7,22.7,471505,1233195,593260,639930
2466032,3,"Westmount, V",20310,46.7,5024.9,40.5,14.3,14.3,5785,14530,6445,8080
2466047,3,"Montréal-Ouest, V",5050,43.6,3689.6,41.5,8.3,8.3,1660,3385,1600,1790
2466058,3,"Côte-Saint-Luc, V",32450,45.7,4662.5,41.6,18,18,8880,23575,10360,13210
2466062,3,"Hampstead, V",6975,40.8,3884.2,40.9,10.8,10.8,2455,4520,2115,2400
2466072,3,"Mont-Royal, V",20275,41.9,2691,40.9,11.4,11.4,6740,13540,6220,7330
2466087,3,"Dorval, V",18980,44.7,907.7,43.4,11.8,11.8,4835,14140,6750,7400
2466092,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,NA,NA
2466097,3,"Pointe-Claire, V",31380,47.6,1660,42.4,8.6,8.6,8560,22810,10315,12515
2466102,3,"Kirkland, V",20150,45.5,2092.8,42.9,6,6,6350,13800,6545,7260
2466107,3,"Beaconsfield, V",19325,44.8,1752.6,42.3,6,6,6335,12995,6190,6805
2466112,3,"Baie-D'Urfé, V",3820,49,633.9,40.8,6.9,6.9,1150,2670,1290,1395
2466117,3,"Sainte-Anne-de-Bellevue, V",4960,44.5,473,41.4,15,15,1535,3425,1730,1695
2466127,3,"Senneville, VL",925,49,122.4,40.3,10.3,10.3,275,650,305,325
2466142,3,"Dollard-Des Ormeaux, V",48895,43.3,3266.1,42.8,10.5,10.5,14885,34025,16075,17945
2467005,3,"Saint-Mathieu, MÉ",2155,41.5,68.6,42.7,8.1,8.1,610,1530,765,775
2467010,3,"Saint-Philippe, MÉ",6320,38.6,102,45.1,6.3,6.3,1920,4405,2220,2195
2467015,3,"La Prairie, V",24110,41.4,552,43.9,8,8,7550,16555,8.00E+03,8560
2467020,3,"Candiac, V",21045,39.3,1215.8,43.8,4.5,4.5,7305,13740,6675,7075
2467025,3,"Delson, V",7455,39.9,977.7,44.2,6.2,6.2,2315,5145,2515,2630
2467030,3,"Sainte-Catherine, V",17045,41.9,1809.4,43.9,7.1,7.1,5085,11965,5705,6255
2467035,3,"Saint-Constant, V",27360,38.8,478.9,44.3,5.5,5.5,8875,18485,9035,9445
2467040,3,"Saint-Isidore, PE",2610,42.2,49.8,44,7.5,7.5,760,1845,955,895
2467045,3,"Mercier, V",13115,38.5,284.6,44.1,5.9,5.9,4345,8765,4250,4520
2467050,3,"Châteauguay, V",47905,42.3,1332.7,43.3,11.9,11.9,14350,33560,15845,17700
2467055,3,"Léry, V",2320,47.5,220.1,40.6,7.1,7.1,590,1735,880,845
2467802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2468005,3,"Saint-Bernard-de-Lacolle, PE",1545,46.4,13.6,41.7,14.3,14.3,410,1135,585,535
2468010,3,"Hemmingford, VL",755,45.1,826.7,39.1,20.5,20.5,220,540,265,280
2468015,3,"Hemmingford, CT",1900,50.3,12.1,43.1,12.3,12.3,450,1450,745,685
2468020,3,"Sainte-Clotilde, MÉ",1620,41.6,20.7,41.6,13.2,13.2,470,1140,595,540
2468025,3,"Saint-Patrice-de-Sherrington, MÉ",1960,42.2,21.2,40.4,9.4,9.4,565,1405,760,625
2468030,3,"Napierville, MÉ",3900,39.5,892.8,43.5,11,11,1195,2710,1360,1340
2468035,3,"Saint-Cyprien-de-Napierville, MÉ",1930,40.9,19.8,42.7,10.6,10.6,600,1335,680,645
2468040,3,"Saint-Jacques-le-Mineur, MÉ",1690,44.4,25.2,45.4,10.6,10.6,485,1205,640,570
2468045,3,"Saint-Édouard, MÉ",1320,39.6,25.1,43.3,9.5,9.5,390,940,490,440
2468050,3,"Saint-Michel, MÉ",3185,38.5,53.1,41.5,7.1,7.1,1050,2130,1075,1050
